OrderID,OrderDate,Region,StoreID,Product,Quantity,UnitPrice
1001,2025-03-14,East,115,Headphones,3,81.65
1002,2025-02-19,West,110,Smartwatch,3,242.5
1003,2025-03-17,West,113,Printer,2,152.59
1004,2025-01-05,West,118,Camera,4,463.4
1005,2025-01-07,West,110,Tablet,3,370.01
1006,2025-03-22,East,113,Smartphone,4,639.47
1007,2025-02-19,North,118,Drone,4,747.21
1008,2025-02-21,West,112,Printer,2,151.06
1009,2025-03-30,North,117,Smartphone,1,614.89
1010,2025-01-30,West,108,Tablet,3,415.43
1011,2025-02-27,North,103,Smartphone,2,589.68
1012,2025-03-25,West,113,Monitor,1,210.43
1013,2025-01-18,North,112,Smartphone,4,570.01
1014,2025-02-17,South,104,Monitor,2,213.32
1015,2025-03-13,East,110,Printer,3,145.89
1016,2025-02-27,South,107,Tablet,2,401.5
1017,2025-03-26,North,101,Smartphone,3,630.37
1018,2025-02-03,North,119,Camera,1,483.4
1019,2025-01-17,East,106,Headphones,5,74.55
1020,2025-03-17,East,107,Tablet,3,416.47
1021,2025-02-04,East,115,Camera,2,496.03
1022,2025-02-07,West,108,Headphones,3,87.97
1023,2025-03-31,West,102,Gaming Console,1,466.62
1024,2025-03-20,East,101,Camera,4,533.72
1025,2025-02-25,East,110,Drone,3,763.49
1026,2025-03-23,East,113,Tablet,4,385.46
1027,2025-01-21,West,119,Laptop,3,728.95
1028,2025-02-18,South,101,Drone,3,726.5
1029,2025-03-17,North,111,Camera,5,508.44
1030,2025-01-23,East,105,Printer,5,158.06
1031,2025-01-11,East,113,Monitor,5,210.99
1032,2025-01-03,North,109,Gaming Console,4,490.29
1033,2025-02-12,North,105,Laptop,1,849.69
1034,2025-01-15,South,114,Printer,4,160.3
1035,2025-03-05,North,101,Camera,1,462.94
1036,2025-01-05,West,108,Headphones,3,80.89
1037,2025-02-27,West,103,Headphones,5,72.38
1038,2025-02-25,North,103,Laptop,1,832.97
1039,2025-01-20,West,114,Headphones,3,82.7
1040,2025-01-14,East,105,Smartphone,4,649.83
1041,2025-02-02,South,116,Smartwatch,2,269.24
1042,2025-01-09,East,107,Smartwatch,3,230.57
1043,2025-03-31,East,120,Printer,2,136.25
1044,2025-01-10,East,111,Camera,4,523.94
1045,2025-04-01,North,113,Tablet,3,410.97
1046,2025-02-21,North,113,Printer,3,155.66
1047,2025-03-08,South,104,Headphones,2,76.78
1048,2025-02-19,West,102,Camera,3,485.42
1049,2025-03-09,West,119,Laptop,1,841.59
1050,2025-03-11,East,108,Smartwatch,4,233.68
1051,2025-02-03,West,104,Tablet,5,396.39
1052,2025-01-26,East,107,Laptop,4,810.93
1053,2025-01-03,South,117,Gaming Console,5,483.35
1054,2025-01-02,West,113,Monitor,2,184.52
1055,2025-01-12,South,119,Monitor,5,182.9
1056,2025-01-28,South,115,Camera,5,530.48
1057,2025-03-02,North,114,Camera,5,465.33
1058,2025-03-22,West,102,Smartwatch,1,270.38
1059,2025-01-22,North,114,Tablet,1,392.7
1060,2025-01-07,South,117,Camera,2,494.17
1061,2025-01-01,North,101,Drone,4,755.3
1062,2025-02-19,North,114,Tablet,4,378.88
1063,2025-03-19,North,108,Tablet,3,396.59
1064,2025-03-13,North,115,Smartphone,3,659.76
1065,2025-03-11,North,106,Printer,5,143.28
1066,2025-01-02,South,117,Headphones,2,79.72
1067,2025-01-10,West,112,Headphones,5,73.22
1068,2025-03-29,North,110,Smartwatch,1,239.38
1069,2025-03-16,West,114,Drone,1,704.71
1070,2025-02-14,East,102,Drone,3,643.12
1071,2025-03-10,South,107,Monitor,4,208.9
1072,2025-01-28,North,101,Smartphone,2,636.63
1073,2025-03-28,West,102,Smartwatch,4,245.12
1074,2025-02-14,South,105,Headphones,2,73.89
1075,2025-03-10,West,113,Tablet,5,392.77
1076,2025-01-14,North,108,Tablet,4,430.26
1077,2025-03-09,West,103,Gaming Console,1,422.57
1078,2025-01-11,West,106,Printer,5,138.4
1079,2025-01-05,East,105,Gaming Console,2,413.79
1080,2025-03-20,East,119,Smartwatch,2,268.78
1081,2025-01-09,North,110,Smartphone,1,588.92
1082,2025-01-16,East,110,Tablet,1,416.89
1083,2025-02-19,South,120,Monitor,4,185.52
1084,2025-01-19,North,102,Laptop,1,841.66
1085,2025-01-26,North,120,Smartphone,2,570.68
1086,2025-01-16,North,114,Printer,5,138.57
1087,2025-01-28,North,104,Smartwatch,1,233.31
1088,2025-03-21,North,118,Printer,5,161.02
1089,2025-01-20,South,110,Camera,1,538.95
1090,2025-01-27,South,119,Laptop,1,850.58
1091,2025-01-25,West,101,Laptop,5,806.61
1092,2025-01-07,East,115,Monitor,2,218.4
1093,2025-03-08,North,115,Monitor,5,200.08
1094,2025-03-17,East,105,Printer,2,138.95
1095,2025-02-15,North,108,Tablet,3,389.87
1096,2025-01-05,North,108,Smartphone,2,593.54
1097,2025-02-18,East,116,Headphones,2,83.7
1098,2025-04-01,South,106,Camera,2,489.46
1099,2025-03-26,South,104,Laptop,1,798.21
1100,2025-03-16,West,115,Smartphone,1,590.05
1101,2025-02-11,North,107,Tablet,3,361.13
1102,2025-01-24,South,116,Printer,1,142.44
1103,2025-01-13,West,107,Monitor,2,213.39
1104,2025-03-07,West,113,Tablet,5,389.6
1105,2025-01-19,North,119,Gaming Console,3,451.0
1106,2025-01-19,North,106,Camera,3,547.63
1107,2025-01-22,North,119,Camera,2,495.27
1108,2025-02-24,South,117,Gaming Console,3,482.41
1109,2025-02-17,South,103,Tablet,2,382.72
1110,2025-02-27,South,111,Smartphone,4,557.0
1111,2025-03-30,North,113,Headphones,4,87.7
1112,2025-01-22,East,105,Smartwatch,3,231.66
1113,2025-03-15,West,116,Tablet,5,388.76
1114,2025-02-02,West,118,Camera,4,494.57
1115,2025-01-17,East,111,Printer,2,153.52
1116,2025-01-13,West,101,Tablet,5,428.42
1117,2025-03-01,West,102,Drone,3,738.54
1118,2025-01-28,North,106,Laptop,4,806.21
1119,2025-03-24,West,114,Camera,5,497.63
1120,2025-01-08,North,103,Smartwatch,3,225.43
1121,2025-03-13,West,117,Camera,1,453.45
1122,2025-03-20,West,110,Drone,5,749.54
1123,2025-01-26,West,107,Printer,3,160.3
1124,2025-01-02,West,102,Smartphone,4,555.54
1125,2025-02-16,East,102,Printer,1,138.9
1126,2025-01-18,South,103,Smartwatch,5,250.92
1127,2025-03-17,North,108,Tablet,3,439.13
1128,2025-03-20,South,112,Drone,1,653.99
1129,2025-02-03,West,109,Monitor,3,182.45
1130,2025-03-14,East,116,Smartwatch,5,236.45
1131,2025-01-26,West,115,Camera,4,504.31
1132,2025-03-23,South,102,Printer,4,164.8
1133,2025-02-11,East,120,Smartwatch,3,242.08
1134,2025-03-26,South,102,Camera,4,542.71
1135,2025-02-03,North,118,Smartwatch,1,239.5
